date,code,side,shares,price,notional,fees,status,reason
2025-08-01,600455.XSHG,buy,3400,28.414199999999997,96608.27999999998,29.94856679999999,filled,
2025-08-01,002970.XSHE,buy,2100,45.04251,94589.271,29.322674009999993,filled,
2025-08-01,301031.XSHE,buy,1700,56.778375,96523.23749999999,29.922203624999995,filled,
2025-08-01,301606.XSHE,buy,2000,47.783879999999996,95567.76,29.626005599999996,filled,
2025-08-01,001389.XSHE,buy,1500,65.05251,97578.765,30.24941715,filled,
2025-08-01,600105.XSHG,buy,10800,9.02451,97464.708,30.214059479999996,filled,
2025-08-01,688100.XSHG,buy,2900,33.6168,97488.71999999999,30.221503199999994,filled,
2025-08-01,300604.XSHE,buy,2200,43.50173999999999,95703.82799999998,29.66818667999999,filled,
2025-08-01,603236.XSHG,buy,1600,57.978975,92766.36,28.757571599999995,filled,
2025-08-01,688208.XSHG,buy,2800,34.187085,95723.838,29.67438978,filled,
2025-09-01,002970.XSHE,sell,2100,49.47525,103898.02500000001,84.15740025,filled,
2025-09-01,300604.XSHE,sell,300,60.479745,18143.9235,14.696578035,filled,
2025-09-01,301031.XSHE,sell,100,72.75360500000001,7275.360500000001,8.710433855,filled,
2025-09-01,301606.XSHE,sell,2000,64.68764,129375.28,104.7939768,filled,
2025-09-01,600105.XSHG,sell,10800,11.164415,120575.682,97.66630242,filled,
2025-09-01,600455.XSHG,sell,3400,26.536725,90224.865,73.08214065,filled,
2025-09-01,603236.XSHG,sell,100,78.78059,7878.059,9.017810090000001,filled,
2025-09-01,300389.XSHE,buy,7600,15.497745,117782.862,36.51268722,filled,
2025-09-01,688093.XSHG,buy,2900,40.46021999999999,117334.63799999998,36.373737779999985,filled,
2025-09-01,688100.XSHG,buy,200,38.008995,7601.799,5.07601799,filled,
2025-09-01,600563.XSHG,buy,900,121.06049999999999,108954.45,33.7758795,filled,
2025-09-01,688019.XSHG,buy,800,136.74834,109398.672,33.91358832,filled,
2025-10-09,300604.XSHE,sell,1900,101.09942500000001,192088.90750000003,155.592015075,filled,
2025-10-09,301031.XSHE,sell,100,82.1589,8215.89,9.1901039,filled,
2025-10-09,688019.XSHG,sell,800,177.49121000000002,141992.96800000002,115.01430408000002,filled,
2025-10-09,300389.XSHE,buy,200,16.66833,3333.666,5.03333666,filled,
2025-10-09,688093.XSHG,buy,400,39.09954,15639.815999999999,5.15639816,filled,
2025-10-09,001389.XSHE,buy,100,79.19958,7919.958,5.07919958,filled,
2025-10-09,688100.XSHG,buy,300,37.668825,11300.6475,5.113006475,filled,
2025-10-09,688208.XSHG,buy,500,38.85942,19429.71,6.023210099999999,filled,
2025-10-09,603236.XSHG,buy,200,75.127545,15025.509,5.15025509,filled,
2025-10-09,600563.XSHG,buy,100,124.52223,12452.223,5.12452223,filled,
2025-10-09,002130.XSHE,buy,4200,30.695339999999998,128920.42799999999,39.96533267999999,filled,
2025-10-09,300866.XSHE,buy,1000,120.83038499999999,120830.385,37.457419349999995,filled,
2025-11-03,002130.XSHE,sell,4200,27.436275000000002,115232.35500000001,93.33820755,filled,
2025-11-03,300389.XSHE,sell,7800,17.1914,134092.92,108.61526520000001,filled,
2025-11-03,300866.XSHE,sell,1000,114.932505,114932.505,93.09532905,filled,
2025-11-03,600563.XSHG,sell,1000,119.09042500000001,119090.42500000002,96.46324425000002,filled,
2025-11-03,603236.XSHG,sell,1700,66.80658000000001,113571.18600000002,91.99266066000001,filled,
2025-11-03,688093.XSHG,sell,100,38.40079,3840.079,6.95844029,filled,
2025-11-03,688100.XSHG,sell,3400,36.491745,124071.933,100.49826572999999,filled,
2025-11-03,688208.XSHG,sell,3300,37.971005000000005,125304.31650000002,101.49649636500001,filled,
2025-11-03,300508.XSHE,buy,3700,33.466725000000004,123826.8825,38.386333574999995,filled,
2025-11-03,603629.XSHG,buy,6000,20.680335,124082.01,38.465423099999995,filled,
2025-11-03,600571.XSHG,buy,7100,17.358675,123246.59250000001,38.206443675,filled,
2025-11-03,600654.XSHG,buy,33300,3.74187,124604.27100000001,38.627324009999995,filled,
2025-11-03,600666.XSHG,buy,34600,3.6018,124622.28,38.63290679999999,filled,
2025-11-03,300684.XSHE,buy,2700,45.56276999999999,123019.47899999998,38.13603848999999,filled,
2025-11-03,605118.XSHG,buy,4400,27.953969999999998,122997.468,38.129215079999994,filled,
2025-12-01,300508.XSHE,sell,300,34.50274,10350.822,10.27891922,filled,
2025-12-01,600654.XSHG,sell,4300,4.13793,17793.099,14.41241019,filled,
2025-12-01,600666.XSHG,sell,2100,3.6981500000000005,7766.115000000001,8.96071865,filled,
2025-12-01,605118.XSHG,sell,4400,27.736125,122038.95000000001,98.8515495,filled,
2025-12-01,301479.XSHE,buy,1900,60.520244999999996,114988.46549999999,35.646424305,filled,
2025-12-01,603629.XSHG,buy,300,18.919455,5675.836499999999,5.056758365,filled,
2025-12-01,301031.XSHE,buy,200,69.36466499999999,13872.932999999997,5.13872933,filled,
2025-12-01,600571.XSHG,buy,200,16.338164999999996,3267.6329999999994,5.03267633,filled,
2025-12-01,300684.XSHE,buy,100,42.181079999999994,4218.107999999999,5.04218108,filled,
2025-12-01,688093.XSHG,buy,200,34.45721999999999,6891.443999999999,5.06891444,filled,
2025-12-01,001389.XSHE,buy,100,68.77436999999999,6877.436999999999,5.06877437,filled,
