signal_date,execution_date,targets
2025-07-31,2025-08-01,"600455.XSHG,002970.XSHE,301031.XSHE,301606.XSHE,001389.XSHE,600105.XSHG,688100.XSHG,300604.XSHE,603236.XSHG,688208.XSHG"
2025-08-29,2025-09-01,"300389.XSHE,301031.XSHE,688093.XSHG,001389.XSHE,688100.XSHG,600563.XSHG,688208.XSHG,603236.XSHG,300604.XSHE,688019.XSHG"
2025-09-30,2025-10-09,"300389.XSHE,301031.XSHE,688093.XSHG,001389.XSHE,688100.XSHG,688208.XSHG,603236.XSHG,600563.XSHG,002130.XSHE,300866.XSHE"
2025-10-31,2025-11-03,"300508.XSHE,603629.XSHG,600571.XSHG,301031.XSHE,600654.XSHG,600666.XSHG,300684.XSHE,688093.XSHG,001389.XSHE,605118.XSHG"
2025-11-28,2025-12-01,"301479.XSHE,300508.XSHE,603629.XSHG,301031.XSHE,600571.XSHG,600666.XSHG,300684.XSHE,688093.XSHG,600654.XSHG,001389.XSHE"
2025-12-31,2026-01-05,"301479.XSHE,300508.XSHE,603629.XSHG,600571.XSHG,301031.XSHE,600666.XSHG,600654.XSHG,688093.XSHG,301606.XSHE,300684.XSHE"
2026-01-30,2026-02-02,"301479.XSHE,300508.XSHE,600571.XSHG,600666.XSHG,600654.XSHG,603629.XSHG,301031.XSHE,688093.XSHG,300684.XSHE,301606.XSHE"
2026-02-27,2026-03-02,"301479.XSHE,300508.XSHE,600571.XSHG,600654.XSHG,600666.XSHG,688093.XSHG,301606.XSHE,300684.XSHE,603629.XSHG,688100.XSHG"
2026-03-31,2026-04-01,"301479.XSHE,600571.XSHG,300711.XSHE,600654.XSHG,301153.XSHE,688093.XSHG,301031.XSHE,300684.XSHE,603039.XSHG,301606.XSHE"
2026-04-30,2026-05-06,"600455.XSHG,300743.XSHE,300042.XSHE,301031.XSHE,301606.XSHE,688615.XSHG,300628.XSHE,002636.XSHE,688188.XSHG,688019.XSHG"
